STEELSERIES2024	50k Bloodpoints
FLAGL	WLW flag charm
GFLAGQ	genderqueer flag charm
DROPBP	Rewards only available for Nintendo Switch
DROPFL	Rewards only available for Nintendo Switch
PRIDE	Rainbow Flag charm
LETSROLL	Dwight Miniature charm
AFLAGG	agender flag charm
PRIDE2022	Progress Pride Flag charm
ISFLAG	intersex flag charm
MFLAG	MLM flag charm
KONTROLFREEK	50k Bloodpoints
FLAGP	pansexual flag charm
DROPMED	Rewards only available for Nintendo Switch
WARRIORPUPPERS	Warrior Puppers charm
BLOODFEST	Blood Droplet Badge
BLOODYGREAT	Blood Droplet Charm
CAWCAW	Feathers of Pride charm
FLAGT	transgender flag charm
FLAGB	bisexual flag charm
GFLAGF	genderfluid flag charm
AFLAGS	asexual flag charm
NBFLAG	Nonbinary Pride Flag Charm
AMD	50k Bloodpoints
